nivel,cod,localidade,ano,n_estab,area_estab
UF,11,Rondônia,2006,87078,84.33868
UF,12,Acre,2006,29483,35.28543
UF,13,Amazonas,2006,66784,36.68753
UF,14,Roraima,2006,10310,17.17532
UF,15,Pará,2006,222029,229.25331
UF,16,Amapá,2006,3527,8.73789
UF,17,Tocantins,2006,56567,143.87949
UF,21,Maranhão,2006,287039,130.33568
UF,22,Piauí,2006,245378,95.06597
UF,23,Ceará,2006,381017,79.48067
UF,24,Rio Grande Do Norte,2006,83053,31.87928
UF,25,Paraíba,2006,167286,37.87404
UF,26,Pernambuco,2006,304790,54.34076
UF,27,Alagoas,2006,123332,21.12574
UF,28,Sergipe,2006,100607,14.82437
UF,29,Bahia,2006,761558,295.8176
UF,31,Minas Gerais,2006,551621,330.83509
UF,32,Espirito Santo,2006,84361,28.39854
UF,33,Rio De Janeiro,2006,58493,20.59462
UF,35,São Paulo,2006,227622,169.54949
UF,41,Paraná,2006,371063,153.91782
UF,42,Santa Catarina,2006,193668,60.62506
UF,43,Rio Grande Do Sul,2006,441472,203.26715
UF,50,Mato Grosso Do Sul,2006,64864,302.74975
UF,51,Mato Grosso,2006,112987,486.88711
UF,52,Goiás,2006,135692,261.36081
UF,53,Distrito Federal,2006,3955,2.5132
UF,11,Rondônia,2017,91438,92.19882756999999
UF,12,Acre,2017,37356,42.326999519999994
UF,13,Amazonas,2017,80959,40.18577834
UF,14,Roraima,2017,16846,26.362794479999998
UF,15,Pará,2017,281699,284.19452739999997
UF,16,Amapá,2017,8507,15.06294012
UF,17,Tocantins,2017,63808,151.80162113
UF,21,Maranhão,2017,219765,122.38488876
UF,22,Piauí,2017,245601,100.09857523
UF,23,Ceará,2017,394330,69.08179416
UF,24,Rio Grande Do Norte,2017,63452,27.2314823
UF,25,Paraíba,2017,163218,34.24540389
UF,26,Pernambuco,2017,281688,44.71219241000001
UF,27,Alagoas,2017,98542,16.3671191
UF,28,Sergipe,2017,93275,14.60860406
UF,29,Bahia,2017,762848,280.20859312
UF,31,Minas Gerais,2017,607557,381.68688335
UF,32,Espirito Santo,2017,108014,32.46763108
UF,33,Rio De Janeiro,2017,65224,23.753727089999998
UF,35,São Paulo,2017,188620,165.12145314
UF,41,Paraná,2017,305154,147.41966727
UF,42,Santa Catarina,2017,183066,64.48785442
UF,43,Rio Grande Do Sul,2017,365094,216.84558109000002
UF,50,Mato Grosso Do Sul,2017,71164,305.49179445
UF,51,Mato Grosso,2017,118679,549.22849768
UF,52,Goiás,2017,152174,262.75245161
UF,53,Distrito Federal,2017,5246,2.5704735800000003
MU,5100102,Acorizal,2017,565,0.50223215
MU,5100201,Água Boa,2017,1009,6.76628378
MU,5100250,Alta Floresta,2017,1675,7.31303391
MU,5100300,Alto Araguaia,2017,691,4.2324427
MU,5100359,Alto Boa Vista,2017,207,0.98039344
MU,5100409,Alto Garças,2017,298,2.92859207
MU,5100508,Alto Paraguai,2017,617,1.05410454
MU,5100607,Alto Taquari,2017,159,1.25326201
MU,5100805,Apiacás,2017,696,5.75335301
MU,5101001,Araguaiana,2017,251,4.14393619
MU,5101209,Araguainha,2017,64,0.58457
MU,5101258,Araputanga,2017,697,1.36640188
MU,5101308,Arenápolis,2017,284,0.29423765
MU,5101407,Aripuanã,2017,2084,11.1207306
MU,5101605,Barão de Melgaço,2017,822,6.30494534
MU,5101704,Barra do Bugres,2017,532,3.80886886
MU,5101803,Barra do Garças,2017,823,6.01340264
MU,5101852,Bom Jesus do Araguaia,2017,943,3.3069072999999998
MU,5101902,Brasnorte,2017,943,9.91359853
MU,5102504,Cáceres,2017,3536,17.17353602
MU,5102603,Campinápolis,2017,831,2.90040042
MU,5102637,Campo Novo do Parecis,2017,269,5.61389726
MU,5102678,Campo Verde,2017,1166,3.47114185
MU,5102686,Campos de Júlio,2017,111,3.9937669000000002
MU,5102694,Canabrava do Norte,2017,744,2.15450296
MU,5102702,Canarana,2017,444,7.9020934
MU,5102793,Carlinda,2017,1329,1.93907476
MU,5102850,Castanheira,2017,1440,4.19381584
MU,5103007,Chapada dos Guimarães,2017,1094,2.92508681
MU,5103056,Cláudia,2017,706,2.17042124
MU,5103106,Cocalinho,2017,505,14.0125102
MU,5103205,Colíder,2017,1783,2.46859774
MU,5103254,Colniza,2017,3475,7.985077850000001
MU,5103304,Comodoro,2017,1207,5.16907597
